residence,lot no
LosAngeles,E6037
LosAngeles,E6037
LosAngeles,E6037
Oakland,?
Riverside,E5928
LosAngeles,E6037
LongBeach,?E6038
LongBeach,11
Maricopa,?E5928
FallsChurch,8122-649334
ChaseCity,8122-64933?
Houston,7078-649343
Scott,7078-649342
